lat,lng
25.61182902329516, -100.27714849206359
25.61538924369076, -100.2613556453839
25.626688371053017, -100.26410222741515
25.643712434639795, -100.26272893639953
25.651914071345633, -100.26204229089171
25.657020466017215, -100.25860906335265
25.659960412275634, -100.24916768762023
25.654235186929252, -100.23234487267882
25.650676124569692, -100.21964193078429
25.642938666230915, -100.21020055505187
25.636903100491608, -100.19869924279601
25.62947429300671, -100.18977285119445
25.636459871985707, -100.17080656878623
25.67390654054988, -100.14917723529014
25.721239620821823, -100.14952055804405
25.758592535678645, -100.12560458793126
25.782708296317285, -100.1328143657633
25.797237221354585, -100.16302676810704
25.780544261564124, -100.20147891654454
25.74477161875209, -100.224182901264
25.758068358349835, -100.23928910243588
25.794549435552305, -100.23070603358822
25.823911640181375, -100.224182901264
25.8059861067256, -100.34434586513119
25.791458253919494, -100.34297257411556
25.75212322965233, -100.31661445062281
25.74176375143477, -100.32056266229273
25.738207304383952, -100.3298323766482
25.742382253100608, -100.33944541375757
25.786287639479117, -100.3741210119021
25.794533943295683, -100.37847013252127
25.781241288769703, -100.42996854560721
25.754342292557823, -100.40936918037283
25.72960220522906, -100.39803952949393
25.686913454623333, -100.35684079902518
25.69249255804133, -100.37415158512115
25.674237754155254, -100.36831509830475
25.67207174437399, -100.3823913312149
25.705176452194635, -100.45826565982819
25.69465819660085, -100.46856534244537
25.703011004953115, -100.491911289711
25.689089332166713, -100.50633084537506
25.661860025295162, -100.45105588199615
25.660003255137475, -100.41226041080475
25.638957840063785, -100.37071835758209
25.645767057000437, -100.32986294986725
